2023/06/14 - 07:51:00		auto	GETACK	Appliance.System.All	{"system": {"hardware": {"type": "mss310", "subType": "us", "version": "1.0.0", "chipType": "MT7688", "uuid": "################################", "macAddress": "#################"}, "firmware": {"version": "1.1.18", "compileTime": "2018-12-03 11:15:36", "wifiMac": "#################", "innerIp": "##############", "server": "###############", "port": "###", "secondServer": "#####################", "secondPort": "###", "userId": "######"}, "time": {"timestamp": 1654970878, "timezone": "Europe/Rome", "timeRule": [[1553994000, 7200, 1], [1572138000, 3600, 0], [1585443600, 7200, 1], [1603587600, 3600, 0], [1616893200, 7200, 1], [1635642000, 3600, 0], [1648342800, 7200, 1], [1667091600, 3600, 0], [1679792400, 7200, 1], [1698541200, 3600, 0], [1711846800, 7200, 1], [1729990800, 3600, 0], [1743296400, 7200, 1], [1761440400, 3600, 0], [1774746000, 7200, 1], [1792890000, 3600, 0], [1806195600, 7200, 1], [1824944400, 3600, 0], [1837645200, 7200, 1], [1856394000, 3600, 0]]}, "online": {"status": 1}}, "control": {"toggle": {"onoff": 0, "lmTime": 1654969625}, "trigger": [], "timer": [{"id": "4rf1l6cf0w4cdugz", "type": 1, "enable": 0, "alias": "Turn on Scaldabagno", "time": 1410, "week": 255, "duration": 0, "createTime": 1567621941, "extend": {"toggle": {"onoff": 1, "lmTime": 0}}}, {"id": "crkwsyrsguh8g4br", "type": 1, "enable": 0, "alias": "Turn off scaldabagno", "time": 1170, "week": 255, "duration": 0, "createTime": 1567622007, "extend": {"toggle": {"onoff": 0, "lmTime": 0}}}]}}
2023/06/14 - 07:51:00		auto	GETACK	Appliance.System.Ability	{"Appliance.Config.Key": {}, "Appliance.Config.WifiList": {}, "Appliance.Config.Wifi": {}, "Appliance.Config.Trace": {}, "Appliance.System.Online": {}, "Appliance.System.All": {}, "Appliance.System.Hardware": {}, "Appliance.System.Firmware": {}, "Appliance.System.Time": {}, "Appliance.System.Clock": {}, "Appliance.System.Debug": {}, "Appliance.System.Ability": {}, "Appliance.System.Runtime": {}, "Appliance.System.Report": {}, "Appliance.System.Position": {}, "Appliance.System.DNDMode": {}, "Appliance.Control.Toggle": {}, "Appliance.Control.Timer": {"sunOffsetSupport": 1}, "Appliance.Control.Trigger": {}, "Appliance.Control.ConsumptionX": {}, "Appliance.Control.Electricity": {}, "Appliance.Control.Upgrade": {}, "Appliance.Control.Bind": {}, "Appliance.Control.Unbind": {}}
2023/06/14 - 07:51:00	TX	http	GET	Appliance.System.Runtime	{"runtime": {}}
2023/06/14 - 07:51:03		auto	LOG	WARNING	MerossDevice(1801167167919325131634298f1111f7) error in async_http_request: Cannot connect to host 192.168.188.33:80 ssl:default [Connect call failed ('192.168.188.33', 80)]
2023/06/14 - 07:51:05	TX	http	GET	Appliance.System.Position	{"position": {}}
2023/06/14 - 07:51:08		auto	LOG	WARNING	MerossDevice(1801167167919325131634298f1111f7) error in async_http_request: Cannot connect to host 192.168.188.33:80 ssl:default [Connect call failed ('192.168.188.33', 80)]
2023/06/14 - 07:51:10	TX	http	GET	Appliance.Control.Toggle	{"toggle": []}
2023/06/14 - 07:51:13		auto	LOG	WARNING	MerossDevice(1801167167919325131634298f1111f7) error in async_http_request: Cannot connect to host 192.168.188.33:80 ssl:default [Connect call failed ('192.168.188.33', 80)]
2023/06/14 - 07:51:15	TX	http	GET	Appliance.Control.Timer	{"timer": {}}
2023/06/14 - 07:51:18		auto	LOG	WARNING	MerossDevice(1801167167919325131634298f1111f7) error in async_http_request: Cannot connect to host 192.168.188.33:80 ssl:default [Connect call failed ('192.168.188.33', 80)]
2023/06/14 - 07:51:20	TX	http	GET	Appliance.Control.Trigger	{"trigger": {}}
2023/06/14 - 07:51:23		auto	LOG	WARNING	MerossDevice(1801167167919325131634298f1111f7) error in async_http_request: Cannot connect to host 192.168.188.33:80 ssl:default [Connect call failed ('192.168.188.33', 80)]
2023/06/14 - 07:51:25	TX	http	GET	Appliance.Control.ConsumptionX	{"consumptionx": []}
2023/06/14 - 07:51:28		auto	LOG	WARNING	MerossDevice(1801167167919325131634298f1111f7) error in async_http_request: Cannot connect to host 192.168.188.33:80 ssl:default [Connect call failed ('192.168.188.33', 80)]
2023/06/14 - 07:51:30	TX	http	GET	Appliance.Control.Electricity	{"electricity": {}}
